docname,topic,proportion
calgwildrose-jK7wQlsB-20190117.mp3.txt,2,0.034244
calgwildrose-jK7wQlsB-20190117.mp3.txt,1,0.007364
calgwildrose-49RO37uM-20181211.mp3.txt,0,0.771
calgwildrose-49RO37uM-20181211.mp3.txt,6,0.14532
calgwildrose-49RO37uM-20181211.mp3.txt,5,0.072128
calgwildrose-49RO37uM-20181211.mp3.txt,2,0.011552
calgwildrose-9I4KBfs2-20181107.mp3.txt,0,0.941684
calgwildrose-9I4KBfs2-20181107.mp3.txt,1,0.030457
calgwildrose-9I4KBfs2-20181107.mp3.txt,3,0.02786
calgwildrose-L44aY2GG-20190111.mp3.txt,3,0.498223
calgwildrose-L44aY2GG-20190111.mp3.txt,0,0.475789
calgwildrose-L44aY2GG-20190111.mp3.txt,5,0.02253
calgwildrose-L44aY2GG-20190111.mp3.txt,1,0.003459
calgwildrose-OGFBsNFI-20190102.mp3.txt,0,0.516684
calgwildrose-OGFBsNFI-20190102.mp3.txt,3,0.378839
calgwildrose-OGFBsNFI-20190102.mp3.txt,5,0.093798
calgwildrose-OGFBsNFI-20190102.mp3.txt,1,0.010679
calgwildrose-MKj8Rhu4-20190103.mp3.txt,0,0.706569
calgwildrose-MKj8Rhu4-20190103.mp3.txt,3,0.261321
calgwildrose-MKj8Rhu4-20190103.mp3.txt,2,0.03211
calgwildrose-KDioWs40-20190107.mp3.txt,2,0.769655
calgwildrose-KDioWs40-20190107.mp3.txt,0,0.147239
calgwildrose-KDioWs40-20190107.mp3.txt,3,0.060989
calgwildrose-KDioWs40-20190107.mp3.txt,4,0.022116
calgwildrose-CxJB2jmI-20181212.mp3.txt,0,0.936027
calgwildrose-CxJB2jmI-20181212.mp3.txt,3,0.040354
calgwildrose-CxJB2jmI-20181212.mp3.txt,2,0.015364
calgwildrose-CxJB2jmI-20181212.mp3.txt,6,0.008255
ottallinaday-pQUstolE-20190103.mp3.txt,3,0.705757
ottallinaday-pQUstolE-20190103.mp3.txt,2,0.294243
ottallinaday-3eraKVNW-20190111.mp3.txt,5,0.689886
ottallinaday-3eraKVNW-20190111.mp3.txt,1,0.288342
ottallinaday-3eraKVNW-20190111.mp3.txt,0,0.021772
ottallinaday-CUe5Zb6V-20181205.mp3.txt,5,0.421562
ottallinaday-CUe5Zb6V-20181205.mp3.txt,1,0.334227
ottallinaday-CUe5Zb6V-20181205.mp3.txt,2,0.244212
calgwildrose-Ss94oqos-20181122.mp3.txt,0,0.531044
calgwildrose-Ss94oqos-20181122.mp3.txt,6,0.435127
calgwildrose-Ss94oqos-20181122.mp3.txt,5,0.030209
calgwildrose-Ss94oqos-20181122.mp3.txt,3,0.003619
ottallinaday-gxhK629f-20190117.mp3.txt,1,0.712638
ottallinaday-gxhK629f-20190117.mp3.txt,5,0.200562
ottallinaday-gxhK629f-20190117.mp3.txt,0,0.0868
calgwildrose-Oj6GL2x7-20181126.mp3.txt,0,0.949379
calgwildrose-Oj6GL2x7-20181126.mp3.txt,3,0.050621
ottallinaday-mQNT8ViT-20190114.mp3.txt,1,0.64059
ottallinaday-mQNT8ViT-20190114.mp3.txt,2,0.255028
ottallinaday-mQNT8ViT-20190114.mp3.txt,4,0.063899
ottallinaday-mQNT8ViT-20190114.mp3.txt,5,0.0259
ottallinaday-mQNT8ViT-20190114.mp3.txt,0,0.014583
ottallinaday-rNpvoA78-20190131.mp3.txt,4,0.878086
ottallinaday-rNpvoA78-20190131.mp3.txt,1,0.076743
ottallinaday-rNpvoA78-20190131.mp3.txt,5,0.045171
ottallinaday-XeA3f9yL-20181123.mp3.txt,3,0.762712
ottallinaday-XeA3f9yL-20181123.mp3.txt,4,0.125945
ottallinaday-XeA3f9yL-20181123.mp3.txt,0,0.066973
ottallinaday-XeA3f9yL-20181123.mp3.txt,5,0.04437
calgwildrose-BhwZe3GW-20190128.mp3.txt,6,0.39363
calgwildrose-BhwZe3GW-20190128.mp3.txt,0,0.393066
calgwildrose-BhwZe3GW-20190128.mp3.txt,3,0.089796
calgwildrose-BhwZe3GW-20190128.mp3.txt,5,0.087106
calgwildrose-BhwZe3GW-20190128.mp3.txt,2,0.024113
calgwildrose-BhwZe3GW-20190128.mp3.txt,4,0.01229
airplayyk1-tXX5DdU4-20181107.mp3.txt,3,0.774341
airplayyk1-tXX5DdU4-20181107.mp3.txt,2,0.217356
airplayyk1-tXX5DdU4-20181107.mp3.txt,0,0.008303
ottallinaday-stF4hpKd-20181221.mp3.txt,5,0.967336
ottallinaday-stF4hpKd-20181221.mp3.txt,0,0.032664
calgwildrose-UtwJF9EJ-20181224.mp3.txt,2,0.305413
calgwildrose-UtwJF9EJ-20181224.mp3.txt,0,0.249494
calgwildrose-UtwJF9EJ-20181224.mp3.txt,5,0.225819
calgwildrose-UtwJF9EJ-20181224.mp3.txt,4,0.2062
calgwildrose-UtwJF9EJ-20181224.mp3.txt,6,0.013074
calgwildrose-9e1mQhN4-20181203.mp3.txt,0,0.976257
